subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
tick_entropy_10s+tte_range_asymmetry+vwap,3,tick_entropy_10s+tte_range_asymmetry+vwap,7day_logistic_enhanced,0.7919019316493313,0.8568360280020235,0.4696256581737463,0.15249412102081608,30.705269141425408,1
tick_entropy_10s+tte_range_asymmetry+vwap,3,tick_entropy_10s+tte_range_asymmetry+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
micro_price_acceleration+micro_acceleration_decay_15s+tte_range_asymmetry,3,micro_price_acceleration+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_baseline,0.7904970760233918,0.855695597454611,0.46637280659141217,0.1520457300837682,31.455523712136895,1
micro_price_acceleration+micro_acceleration_decay_15s+tte_range_asymmetry,3,micro_price_acceleration+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_enhanced,0.7904970760233918,0.855037070229754,0.47071363555490053,0.1530903348445481,31.016062515152115,1
micro_price_acceleration+micro_acceleration_decay_15s+tte_range_asymmetry,3,micro_price_acceleration+micro_acceleration_decay_15s+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
micro_price_acceleration+micro_acceleration_decay_15s+vwap,3,micro_price_acceleration+micro_acceleration_decay_15s+vwap,7day_logistic_baseline,0.500520059435364,0.5230618197347594,0.6913610495461374,0.24911065669747692,49.83393871096532,1
micro_price_acceleration+micro_acceleration_decay_15s+vwap,3,micro_price_acceleration+micro_acceleration_decay_15s+vwap,7day_logistic_enhanced,0.47340267459138186,0.5042698799346463,0.6955225001015128,0.2511870848238087,50.089129953961276,1
micro_price_acceleration+micro_acceleration_decay_15s+vwap,3,micro_price_acceleration+micro_acceleration_decay_15s+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
micro_price_acceleration+tte_range_asymmetry+vwap,3,micro_price_acceleration+tte_range_asymmetry+vwap,7day_logistic_baseline,0.7919019316493313,0.8595398188533637,0.464965297151357,0.15136195267950378,31.177086913708845,1
micro_price_acceleration+tte_range_asymmetry+vwap,3,micro_price_acceleration+tte_range_asymmetry+vwap,7day_logistic_enhanced,0.7919019316493313,0.8569880049780432,0.4696090940769668,0.15248821832429815,30.704795069808526,1
