feature_dropped,model,n_features_used,impact_accuracy,impact_roc_auc,impact_log_loss,impact_brier,impact_calibration_gap_pp,full_accuracy,drop_accuracy,full_roc_auc,drop_roc_auc,full_log_loss,drop_log_loss,full_brier,drop_brier,full_calibration_gap_pp,drop_calibration_gap_pp,helpfulness_score
tte_low_ratio,7day_logistic_enhanced,24,0.0004208200954405328,-0.00013153107391317143,-0.0002344823277224961,1.0631495634128019e-05,0.0013480752080567981,0.7979402765407094,0.7975194564452689,0.8806599777879717,0.8807915088618848,0.5069188268361688,0.5066843445084463,0.14624646561323726,0.1462570971088714,25.91537202083914,25.916720096047197,7.891894151956124e-05
tick_continuation_reversal_ratio_20s,7day_logistic_enhanced,24,-0.000831985754011888,-2.938993347512131e-05,0.0008227759341246088,2.3872750017001065e-05,-0.0016159029813067605,0.7979402765407094,0.7987722622947213,0.8806599777879717,0.8806893677214468,0.5069188268361688,0.5077416027702935,0.14624646561323726,0.14627033836325426,25.91537202083914,25.913756117857833,-3.088603315846705e-05
buy_volume_ratio,7day_logistic_enhanced,24,-0.0004886162233508351,-0.0003555280951272888,0.0005317165996785445,-0.0001688726844312205,-0.03417211298267375,0.7979402765407094,0.7984288927640603,0.8806599777879717,0.881015505883099,0.5069188268361688,0.5074505434358474,0.14624646561323726,0.14607759292880604,25.91537202083914,25.881199907856466,-0.0008230215330575375
kinetic_energy_10s,7day_logistic_enhanced,24,-0.0008294383303868447,0.00010084262522269682,-0.0003429819481244323,1.885335022122625e-05,0.0056136442027217015,0.7979402765407094,0.7987697148710963,0.8806599777879717,0.880559135162749,0.5069188268361688,0.5065758448880444,0.14624646561323726,0.14626531896345848,25.91537202083914,25.92098566504186,-0.000996587861040137
log_return_1s,7day_logistic_enhanced,24,0.0005092229615617505,-0.0001261034367995295,-0.004771913694985308,-5.188699322519752e-05,0.03605362882402119,0.7979402765407094,0.7974310535791477,0.8806599777879717,0.8807860812247712,0.5069188268361688,0.5021469131411835,0.14624646561323726,0.14619457862001206,25.91537202083914,25.95142564966316,-0.004080144875208073
time_below_open_pct,7day_logistic_enhanced,24,0.0006581014287758702,0.0002532239172451378,-0.008650500523861182,0.00013093413517537011,0.11688177816329315,0.7979402765407094,0.7972821751119336,0.8806599777879717,0.8804067538707265,0.5069188268361688,0.49826832631230766,0.14624646561323726,0.14637739974841263,25.91537202083914,26.032253799002433,-0.006439423261031873
time_in_profit_pct,7day_logistic_enhanced,24,-7.081651600882033e-05,0.00027727815534395184,-0.008627023911952969,3.69620799021142e-05,0.08619012010695926,0.7979402765407094,0.7980110930567182,0.8806599777879717,0.8803826996326277,0.5069188268361688,0.4982918029242159,0.14624646561323726,0.14628342769313937,25.91537202083914,26.0015621409461,-0.007521698991646131
trend_zscore,7day_logistic_enhanced,24,-0.00023337526102951145,-0.0004741030749583208,-0.016005674611662857,-0.00010707365951523329,0.023718090224981836,0.7979402765407094,0.7981736518017389,0.8806599777879717,0.88113408086293,0.5069188268361688,0.490913152224506,0.14624646561323726,0.14613939195372203,25.91537202083914,25.93909011106412,-0.016583045704916102
trend_mean_60s,7day_logistic_enhanced,24,0.0008246670040562565,9.0129346222656e-05,-0.02558350547588606,0.0006656344682996473,0.23158181899114183,0.7979402765407094,0.7971156095366532,0.8806599777879717,0.880569848441749,0.5069188268361688,0.4813353213602828,0.14624646561323726,0.1469121000815369,25.91537202083914,26.14695383983028,-0.021687256467396082
return_from_candle_open,7day_logistic_enhanced,24,-0.002477175914223806,-0.000130334675651822,-0.040847375975843314,-0.0005669007976148721,0.4010912310836261,0.7979402765407094,0.8004174524549332,0.8806599777879717,0.8807903124636235,0.5069188268361688,0.46607145086032553,0.14624646561323726,0.1456795648156224,25.91537202083914,26.316463251922766,-0.04001087505249755
